"","Continent_Name","Entity","terrorist_incidents","terrorist_injuries","terrorist_fatalities"
"1","Asia","Afghanistan",2024,4789,4200
"2","Europe","Albania",54,20,6
"3","Africa","Algeria",319,1890,1302
"4","Africa","Angola",73,216,358
"5","South America","Argentina",267,516,175
"6","Europe","Armenia",8,1,2
"7","Asia","Armenia",8,1,2
"8","Oceania","Australia",33,11,9
"9","Europe","Austria",62,117,17
"10","Asia","Azerbaijan",9,68,26
"11","Europe","Azerbaijan",9,68,26
"12","North America","Bahamas",2,0,1
"13","Asia","Bahrain",18,11,13
"14","Asia","Bangladesh",155,2208,231
"15","North America","Barbados",2,0,73
"16","Europe","Belarus",2,0,0
"17","Europe","Belgium",0,0,0
"18","North America","Belize",1,0,0
"19","Africa","Benin",1,3,0
"20","Asia","Bhutan",12,3,0
"21","South America","Bolivia",79,41,10
"22","Europe","Bosnia and Herzegovina",114,39,18
"23","Africa","Botswana",3,0,2
"24","South America","Brazil",53,50,10
"25","Europe","Bulgaria",12,0,2
"26","Africa","Burundi",14,29,27
"27","Asia","Cambodia",60,188,77
"28","North America","Canada",34,51,338
"29","Africa","Central African Republic",1,7,0
"30","Africa","Chad",12,25,180
"31","South America","Chile",0,0,0
"32","Asia","China",28,172,100
"33","South America","Colombia",1913,2748,1615
"34","Africa","Congo",2,1,1
"35","Africa","Congo",2,1,1
"36","North America","Costa Rica",0,0,0
"37","Africa","Cote d'Ivoire",3,0,3
"38","Europe","Croatia",23,41,2
"39","North America","Cuba",19,4,2
"40","Asia","Cyprus",72,67,25
"41","Europe","Cyprus",72,67,25
"42","Europe","Czech Republic",5,4,0
"43","Europe","Denmark",29,60,1
"44","Africa","Djibouti",4,66,12
"45","North America","Dominican Republic",27,3,2
"46","South America","Ecuador",77,50,27
"47","Africa","Egypt",133,856,331
"48","North America","El Salvador",118,68,65
"49","Africa","Eritrea",5,63,16
"50","Europe","Estonia",7,4,0
"51","Africa","Ethiopia",85,371,215
"52","Oceania","Fiji",2,0,0
"53","Europe","Finland",1,0,0
"54","Europe","France",1223,1372,185
"55","Oceania","French Polynesia",2,0,1
"56","Africa","Gabon",1,0,2
"57","Europe","Georgia",99,216,79
"58","Asia","Georgia",99,216,79
